status,error_message,case_id,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,identity_coefficient_real,identity_coefficient_imag,number_of_fermionic_terms,number_of_pauli_terms,ordering,formula_order,trotter_steps,trotter_dt,evolution_time,nominal_exponential_count,ordering_build_time_seconds,graph_vertices,graph_edges,number_of_colors,graph_time_seconds,coloring_time_seconds,exact_evolution_time_seconds,trotter_runtime_seconds,operator_norm_error,state_infidelity,state_vector_2norm_error,operator_error_ratio_to_jw_raw,state_infidelity_ratio_to_jw_raw,coefficient_tolerance
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,1,1,1.0,1.0,3,0.0,,,,,,3.783300053328276e-05,2.058400059468113e-05,,0.0,0.0,1.0,1.0,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_coloring,1,1,1.0,1.0,3,0.00017279099847655743,3,0,1,9.154100189334713e-05,7.383399861282669e-05,3.783300053328276e-05,1.016699752653949e-05,,0.0,0.0,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,fermionic_coloring,1,1,1.0,1.0,3,0.0002733330002229195,3,0,1,6.641700019827113e-05,5.7920005929190665e-06,3.783300053328276e-05,8.375001925742254e-06,,0.0,0.0,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,1,2,0.5,1.0,6,0.0,,,,,,3.783300053328276e-05,8.125000022118911e-06,,2.220446049250313e-16,2.2247786310271853e-16,1.0,1.0,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_coloring,1,2,0.5,1.0,6,0.00017279099847655743,3,0,1,9.154100189334713e-05,7.383399861282669e-05,3.783300053328276e-05,8.709001122042537e-06,,2.220446049250313e-16,2.2247786310271853e-16,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,fermionic_coloring,1,2,0.5,1.0,6,0.0002733330002229195,3,0,1,6.641700019827113e-05,5.7920005929190665e-06,3.783300053328276e-05,7.957998604979366e-06,,2.220446049250313e-16,2.2247786310271853e-16,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,1,5,0.2,1.0,15,0.0,,,,,,3.783300053328276e-05,1.049999991664663e-05,,4.440892098500626e-16,3.3422138886441676e-16,1.0,1.0,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_coloring,1,5,0.2,1.0,15,0.00017279099847655743,3,0,1,9.154100189334713e-05,7.383399861282669e-05,3.783300053328276e-05,9.625000529922545e-06,,4.440892098500626e-16,3.3422138886441676e-16,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,fermionic_coloring,1,5,0.2,1.0,15,0.0002733330002229195,3,0,1,6.641700019827113e-05,5.7920005929190665e-06,3.783300053328276e-05,9.416999091627076e-06,,4.440892098500626e-16,3.3422138886441676e-16,,,1e-12
success,,Be-H_1.07_hgbs-5_as-001-001,hamiltonian_generator/library/Be-H/1.07/hgbs-5/Be-H_1.07_hgbs-5_as-001-001.tensors.npz,Be-H,1.07,hgbs-5,1,1,2,-15.017755544199899,0.0,3,3,jw_raw,1,10,0.1,1.0,30,0.0,,,,,,3.783300053328276e-05,9.125000360654667e-06,,4.440892098500626e-16,3.356589068483857e-16,1.0,1.0,1e-12
