# BASELINE: Trotter state error for QPE Hamiltonian simulation.
# 
# metric        : err = || psi_trotter - psi_exact ||_2
# initial state : Hartree-Fock |11..100..0> (top n_occ bits, JW)
# reference     : scipy expm_multiply, exp(-i H T) psi0
# generator     : H_terms = pi * (H - shift*I) / normalization,
#                 identity term excluded
# normalization : 2 * max(1, one_norm - |shift|)  [Julia hamiltonian_utils.jl]
# term ordering : ascending signed coefficient, ties broken by ascending
#                 lexicographic Pauli string (deterministic; the
#                 ascending direction follows Julia, the tie-break is an
#                 addition)
# delta_t       : 1 / n_steps, where n_steps is PER U and
#                 U = exp(-i H_terms) is one unit of evolution
# total_steps   : T / delta_t = T * n_steps
# dt_norm       : delta_t * sum|c_j|; equals pi/2, pi/4, pi/8 wherever
#                 the shifted one-norm is at least 1, which fixes the
#                 dimensionless step size across systems
# T             : swept, identical for every Hamiltonian. NOT derived
#                 from any per-molecule circuit-depth table; it is an
#                 independent axis of the study.
# mapping       : bk   (HF determinant encoded per mapping:
#                 JW stores the occupation directly, BK stores
#                 (encoder_bk @ occ) mod 2, as in hamgen.get_initial_state)
# basis         : hgbs-5
# active space  : all
# T swept       : 64,256,512
# n_steps swept : 1,2,4   (delta_t = 1.0, 0.5, 0.25)
# orders        : 1,2,4
# bond lengths  : all per active space, evenly spaced over the sorted L range (deterministic)
# 
# Generated by compute_trotter_state_error.py.
molecule,L,basis,active,mapping,n_qubits,T,n_steps,total_steps,delta_t,dt_norm,order,err,seconds,one_norm,normalization
He,nan,hgbs-5,002-002,bk,4,64,1,64,1.0,1.570796326794896,1,0.003703012827995966,0.006,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,64,2,128,0.5,0.785398163397448,1,0.001807351245537335,0.012,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,64,4,256,0.25,0.392699081698724,1,0.000901284301781656,0.024,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,64,1,64,1.0,1.570796326794896,2,0.0016057856603508007,0.017,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,64,2,128,0.5,0.785398163397448,2,0.00039873743790902824,0.023,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,64,4,256,0.25,0.392699081698724,2,9.952956933033478e-05,0.045,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,64,1,64,1.0,1.570796326794896,4,2.9689137962468564e-05,0.056,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,64,2,128,0.5,0.785398163397448,4,1.8772061203259723e-06,0.113,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,64,4,256,0.25,0.392699081698724,4,1.180806441514937e-07,0.227,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,256,1,256,1.0,1.570796326794896,1,0.008641484903793973,0.023,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,256,2,512,0.5,0.785398163397448,1,0.003965894071729402,0.047,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,256,4,1024,0.25,0.392699081698724,1,0.0019640522073116617,0.094,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,256,1,256,1.0,1.570796326794896,2,0.0041447997926264265,0.046,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,256,2,512,0.5,0.785398163397448,2,0.0009950334438351945,0.091,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,256,4,1024,0.25,0.392699081698724,2,0.0002462934262915885,0.181,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,256,1,256,1.0,1.570796326794896,4,7.781842842512919e-05,0.226,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,256,2,512,0.5,0.785398163397448,4,5.319569184286511e-06,0.45,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,256,4,1024,0.25,0.392699081698724,4,3.4080627437085525e-07,0.902,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,512,1,512,1.0,1.570796326794896,1,0.008306114539756666,0.048,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,512,2,1024,0.5,0.785398163397448,1,0.002517751559451237,0.092,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,512,4,2048,0.25,0.392699081698724,1,0.0010048695851091756,0.183,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,512,1,512,1.0,1.570796326794896,2,0.006571133669945693,0.089,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,512,2,1024,0.5,0.785398163397448,2,0.0016289112343799137,0.18,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,512,4,2048,0.25,0.392699081698724,2,0.00040651780116645074,0.359,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,512,1,512,1.0,1.570796326794896,4,0.00012356455775811565,0.451,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,512,2,1024,0.5,0.785398163397448,4,9.167004866006575e-06,0.895,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-002,bk,4,512,4,2048,0.25,0.392699081698724,4,5.96370710672436e-07,1.844,3.7315325105471597,3.8965208998204903
He,nan,hgbs-5,002-004,bk,6,64,1,64,1.0,1.570796326794892,1,0.011225631393019039,0.028,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,64,2,128,0.5,0.785398163397446,1,0.004816570361666027,0.055,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,64,4,256,0.25,0.392699081698723,1,0.0023198029570400966,0.11,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,64,1,64,1.0,1.570796326794892,2,0.0026158344386994223,0.055,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,64,2,128,0.5,0.785398163397446,2,0.0006481304133983984,0.111,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,64,4,256,0.25,0.392699081698723,2,0.000161678222055552,0.221,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,64,1,64,1.0,1.570796326794892,4,8.098508663014557e-06,0.276,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,64,2,128,0.5,0.785398163397446,4,5.021553746540827e-07,0.56,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,64,4,256,0.25,0.392699081698723,4,3.1329321581047054e-08,1.099,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,256,1,256,1.0,1.570796326794892,1,0.0291299636866084,0.11,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,256,2,512,0.5,0.785398163397446,1,0.00889851462404858,0.221,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,256,4,1024,0.25,0.392699081698723,1,0.003460340080852567,0.433,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,256,1,256,1.0,1.570796326794892,2,0.00952088047869549,0.218,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,256,2,512,0.5,0.785398163397446,2,0.0023602894754316786,0.441,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,256,4,1024,0.25,0.392699081698723,2,0.0005888551974381983,0.873,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,256,1,256,1.0,1.570796326794892,4,2.1171117024559644e-05,1.095,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,256,2,512,0.5,0.785398163397446,4,1.3446634787721945e-06,2.218,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,256,4,1024,0.25,0.392699081698723,4,8.438051033984354e-08,4.423,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,512,1,512,1.0,1.570796326794892,1,0.05384290905362257,0.224,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,512,2,1024,0.5,0.785398163397446,1,0.0137145628307047,0.446,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,512,4,2048,0.25,0.392699081698723,1,0.003820550565305095,0.887,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,512,1,512,1.0,1.570796326794892,2,0.01887013725604786,0.456,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,512,2,1024,0.5,0.785398163397446,2,0.004680431157121052,0.885,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,512,4,2048,0.25,0.392699081698723,2,0.0011678393942499902,1.816,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,512,1,512,1.0,1.570796326794892,4,3.9342529673696034e-05,2.273,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,512,2,1024,0.5,0.785398163397446,4,2.514522917679054e-06,4.615,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-004,bk,6,512,4,2048,0.25,0.392699081698723,4,1.5802129698734533e-07,9.375,4.91947183236137,6.935547359902397
He,nan,hgbs-5,002-006,bk,8,64,1,64,1.0,1.570796326794897,1,0.015397556949438403,0.106,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,64,2,128,0.5,0.7853981633974485,1,0.007366568734836406,0.215,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,64,4,256,0.25,0.39269908169872425,1,0.003642732645343946,0.425,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,64,1,64,1.0,1.570796326794897,2,0.0027328214421240915,0.213,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,64,2,128,0.5,0.7853981633974485,2,0.0006782802236769738,0.423,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,64,4,256,0.25,0.39269908169872425,2,0.00016926637629108293,0.853,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,64,1,64,1.0,1.570796326794897,4,5.7578700210106285e-06,1.058,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,64,2,128,0.5,0.7853981633974485,4,3.5825705418491056e-07,2.126,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,64,4,256,0.25,0.39269908169872425,4,2.2367248698607275e-08,4.288,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,256,1,256,1.0,1.570796326794897,1,0.022333364769940422,0.429,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,256,2,512,0.5,0.7853981633974485,1,0.007474772673146097,0.882,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,256,4,1024,0.25,0.39269908169872425,1,0.003119294631483025,1.749,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,256,1,256,1.0,1.570796326794897,2,0.00979099379912834,0.874,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,256,2,512,0.5,0.7853981633974485,2,0.00243247110689294,1.721,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,256,4,1024,0.25,0.39269908169872425,2,0.0006071745691618502,3.423,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,256,1,256,1.0,1.570796326794897,4,1.4981078539552096e-05,4.376,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,256,2,512,0.5,0.7853981633974485,4,9.454591210432945e-07,8.752,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,256,4,1024,0.25,0.39269908169872425,4,5.9234025435448565e-08,17.452,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,512,1,512,1.0,1.570796326794897,1,0.03995127233955198,0.878,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,512,2,1024,0.5,0.7853981633974485,1,0.011147735239216775,1.77,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,512,4,2048,0.25,0.39269908169872425,1,0.0037618967200447077,3.489,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,512,1,512,1.0,1.570796326794897,2,0.019559261149625976,1.746,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,512,2,1024,0.5,0.7853981633974485,2,0.004859160481227983,3.548,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,512,4,2048,0.25,0.39269908169872425,2,0.0012128950037332787,7.063,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,512,1,512,1.0,1.570796326794897,4,2.912947669713129e-05,8.888,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,512,2,1024,0.5,0.7853981633974485,4,1.8411168861630897e-06,17.696,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-006,bk,8,512,4,2048,0.25,0.39269908169872425,4,1.1538907843999036e-07,36.184,8.446416057682244,16.535854288232127
He,nan,hgbs-5,002-008,bk,10,64,1,64,1.0,1.5707963267948994,1,0.01149445873317175,0.444,28.58164536116917,45.76748545895441
He,nan,hgbs-5,002-008,bk,10,64,2,128,0.5,0.7853981633974497,1,0.005717523167753937,0.903,28.58164536116917,45.76748545895441
He,nan,hgbs-5,002-008,bk,10,64,4,256,0.25,0.39269908169872486,1,0.002854850916462341,1.797,28.58164536116917,45.76748545895441
He,nan,hgbs-5,002-008,bk,10,64,1,64,1.0,1.5707963267948994,2,0.000894898276591188,0.922,28.58164536116917,45.76748545895441
He,nan,hgbs-5,002-008,bk,10,64,2,128,0.5,0.7853981633974497,2,0.0002224884097060639,1.809,28.58164536116917,45.76748545895441
He,nan,hgbs-5,002-008,bk,10,64,4,256,0.25,0.39269908169872486,2,5.5545699076722994e-05,3.628,28.58164536116917,45.76748545895441
He,nan,hgbs-5,002-008,bk,10,64,1,64,1.0,1.5707963267948994,4,1.5601905948448867e-06,4.525,28.58164536116917,45.76748545895441
He,nan,hgbs-5,002-008,bk,10,64,2,128,0.5,0.7853981633974497,4,9.669552641919771e-08,8.988,28.58164536116917,45.76748545895441
He,nan,hgbs-5,002-008,bk,10,64,4,256,0.25,0.39269908169872486,4,6.0309287339611515e-09,18.189,28.58164536116917,45.76748545895441
He,nan,hgbs-5,002-008,bk,10,256,1,256,1.0,1.5707963267948994,1,0.01085481031391262,1.82,28.58164536116917,45.76748545895441
He,nan,hgbs-5,002-008,bk,10,256,2,512,0.5,0.7853981633974497,1,0.005228155522119198,3.666,28.58164536116917,45.76748545895441
He,nan,hgbs-5,002-008,bk,10,256,4,1024,0.25,0.39269908169872486,1,0.002589914940741603,7.195,28.58164536116917,45.76748545895441
He,nan,hgbs-5,002-008,bk,10,256,1,256,1.0,1.5707963267948994,2,0.0028831810973798154,3.627,28.58164536116917,45.76748545895441
He,nan,hgbs-5,002-008,bk,10,256,2,512,0.5,0.7853981633974497,2,0.000717835530632166,7.446,28.58164536116917,45.76748545895441
