# BASELINE: Trotter state error for QPE Hamiltonian simulation.
# 
# metric        : err = || psi_trotter - psi_exact ||_2
# initial state : Hartree-Fock |11..100..0> (top n_occ bits, JW)
# reference     : scipy expm_multiply, exp(-i H T) psi0
# generator     : H_terms = pi * (H - shift*I) / normalization,
#                 identity term excluded
# normalization : 2 * max(1, one_norm - |shift|)  [Julia hamiltonian_utils.jl]
# term ordering : ascending signed coefficient, ties broken by ascending
#                 lexicographic Pauli string (deterministic; the
#                 ascending direction follows Julia, the tie-break is an
#                 addition)
# delta_t       : 1 / n_steps, where n_steps is PER U and
#                 U = exp(-i H_terms) is one unit of evolution
# total_steps   : T / delta_t = T * n_steps
# dt_norm       : delta_t * sum|c_j|; equals pi/2, pi/4, pi/8 wherever
#                 the shifted one-norm is at least 1, which fixes the
#                 dimensionless step size across systems
# T             : swept, identical for every Hamiltonian. NOT derived
#                 from any per-molecule circuit-depth table; it is an
#                 independent axis of the study.
# mapping       : jw   (HF determinant encoded per mapping:
#                 JW stores the occupation directly, BK stores
#                 (encoder_bk @ occ) mod 2, as in hamgen.get_initial_state)
# basis         : sto-6g
# active space  : all
# T swept       : 64,256,512
# n_steps swept : 1,2,4   (delta_t = 1.0, 0.5, 0.25)
# orders        : 1,2,4
# bond lengths  : all per active space, evenly spaced over the sorted L range (deterministic)
# 
# Generated by compute_trotter_state_error.py.
molecule,L,basis,active,mapping,n_qubits,T,n_steps,total_steps,delta_t,dt_norm,order,err,seconds,one_norm,normalization
B,nan,sto-6g,001-001,jw,2,64,1,64,1.0,0.37164972282687403,1,5.074338674593921e-15,0.001,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,64,2,128,0.5,0.18582486141343701,1,1.3835089558108834e-14,0.002,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,64,4,256,0.25,0.09291243070671851,1,1.9828595652310073e-14,0.003,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,64,1,64,1.0,0.37164972282687403,2,1.4885685496664094e-14,0.001,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,64,2,128,0.5,0.18582486141343701,2,1.69111421863192e-14,0.003,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,64,4,256,0.25,0.09291243070671851,2,1.3346709450655608e-14,0.005,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,64,1,64,1.0,0.37164972282687403,4,4.525027168000529e-14,0.006,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,64,2,128,0.5,0.18582486141343701,4,4.4267837332919145e-14,0.012,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,64,4,256,0.25,0.09291243070671851,4,1.0527818253729124e-14,0.024,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,256,1,256,1.0,0.37164972282687403,1,6.413765235640767e-14,0.003,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,256,2,512,0.5,0.18582486141343701,1,6.49089401339857e-14,0.006,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,256,4,1024,0.25,0.09291243070671851,1,8.943961096401119e-14,0.011,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,256,1,256,1.0,0.37164972282687403,2,6.528451240140649e-14,0.005,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,256,2,512,0.5,0.18582486141343701,2,7.522340661594991e-14,0.01,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,256,4,1024,0.25,0.09291243070671851,2,9.73267375312364e-14,0.02,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,256,1,256,1.0,0.37164972282687403,4,1.626801050587296e-13,0.025,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,256,2,512,0.5,0.18582486141343701,4,2.333458766383503e-13,0.05,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,256,4,1024,0.25,0.09291243070671851,4,6.495041916866897e-14,0.099,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,512,1,512,1.0,0.37164972282687403,1,9.22542726630826e-14,0.006,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,512,2,1024,0.5,0.18582486141343701,1,9.976089055286778e-14,0.012,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,512,4,2048,0.25,0.09291243070671851,1,1.5883491607756163e-13,0.023,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,512,1,512,1.0,0.37164972282687403,2,1.0178347643496124e-13,0.01,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,512,2,1024,0.5,0.18582486141343701,2,1.217368057928456e-13,0.02,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,512,4,2048,0.25,0.09291243070671851,2,1.683365112563204e-13,0.04,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,512,1,512,1.0,0.37164972282687403,4,3.244635776182864e-13,0.05,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,512,2,1024,0.5,0.18582486141343701,4,4.47076129576351e-13,0.099,24.484116895907313,2.0
B,nan,sto-6g,001-001,jw,2,512,4,2048,0.25,0.09291243070671851,4,9.559666560812723e-14,0.194,24.484116895907313,2.0
B,nan,sto-6g,001-003,jw,4,64,1,64,1.0,1.5707963267949048,1,1.4042018569347593e-14,0.003,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,64,2,128,0.5,0.7853981633974524,1,5.148605418832088e-14,0.007,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,64,4,256,0.25,0.3926990816987262,1,8.584716532884672e-14,0.014,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,64,1,64,1.0,1.5707963267949048,2,4.9735017670696394e-14,0.006,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,64,2,128,0.5,0.7853981633974524,2,7.89251645054806e-14,0.013,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,64,4,256,0.25,0.3926990816987262,2,9.806858723136875e-14,0.026,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,64,1,64,1.0,1.5707963267949048,4,2.982209718370296e-14,0.034,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,64,2,128,0.5,0.7853981633974524,4,2.14957355556972e-13,0.066,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,64,4,256,0.25,0.3926990816987262,4,1.8232942470811317e-13,0.133,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,256,1,256,1.0,1.5707963267949048,1,5.244132345738292e-14,0.014,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,256,2,512,0.5,0.7853981633974524,1,2.0007688278452996e-13,0.027,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,256,4,1024,0.25,0.3926990816987262,1,3.6315183001619385e-13,0.055,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,256,1,256,1.0,1.5707963267949048,2,1.837644826554406e-13,0.026,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,256,2,512,0.5,0.7853981633974524,2,3.3058126137692366e-13,0.053,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,256,4,1024,0.25,0.3926990816987262,2,4.0631023016024593e-13,0.108,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,256,1,256,1.0,1.5707963267949048,4,1.3947839287486024e-13,0.136,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,256,2,512,0.5,0.7853981633974524,4,8.388553066992319e-13,0.263,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,256,4,1024,0.25,0.3926990816987262,4,6.864427709808992e-13,0.529,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,512,1,512,1.0,1.5707963267949048,1,1.0519731290369443e-13,0.027,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,512,2,1024,0.5,0.7853981633974524,1,3.983779881295358e-13,0.055,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,512,4,2048,0.25,0.3926990816987262,1,7.215272519716224e-13,0.108,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,512,1,512,1.0,1.5707963267949048,2,3.728190587455083e-13,0.053,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,512,2,1024,0.5,0.7853981633974524,2,6.755428545620209e-13,0.104,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,512,4,2048,0.25,0.3926990816987262,2,8.273329318556463e-13,0.212,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,512,1,512,1.0,1.5707963267949048,4,2.5994418369743143e-13,0.261,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,512,2,1024,0.5,0.7853981633974524,4,1.6497554711051785e-12,0.526,25.825326015843906,4.057721471586504
B,nan,sto-6g,001-003,jw,4,512,4,2048,0.25,0.3926990816987262,4,1.3448611408395255e-12,1.052,25.825326015843906,4.057721471586504
B,nan,sto-6g,003-003,jw,6,64,1,64,1.0,1.5707963267948981,1,0.010381646951660526,0.009,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,64,2,128,0.5,0.7853981633974491,1,0.003722665468213611,0.018,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,64,4,256,0.25,0.39269908169872453,1,0.001628153867759653,0.036,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,64,1,64,1.0,1.5707963267948981,2,0.002145017489028143,0.018,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,64,2,128,0.5,0.7853981633974491,2,0.0005359059288485066,0.035,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,64,4,256,0.25,0.39269908169872453,2,0.00013395472911410293,0.071,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,64,1,64,1.0,1.5707963267948981,4,1.5056422084700915e-07,0.087,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,64,2,128,0.5,0.7853981633974491,4,9.414105378111416e-09,0.173,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,64,4,256,0.25,0.39269908169872453,4,5.884403040090758e-10,0.332,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,256,1,256,1.0,1.5707963267948981,1,0.032629574498092714,0.034,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,256,2,512,0.5,0.7853981633974491,1,0.008148626739282766,0.067,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,256,4,1024,0.25,0.39269908169872453,1,0.0020429728605085794,0.139,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,256,1,256,1.0,1.5707963267948981,2,0.00856928583643434,0.068,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,256,2,512,0.5,0.7853981633974491,2,0.0021409047640654688,0.141,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,256,4,1024,0.25,0.39269908169872453,2,0.0005351374786085919,0.283,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,256,1,256,1.0,1.5707963267948981,4,6.021359554206725e-07,0.351,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,256,2,512,0.5,0.7853981633974491,4,3.764969614326122e-08,0.696,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,256,4,1024,0.25,0.39269908169872453,4,2.3533745319494395e-09,1.383,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,512,1,512,1.0,1.5707963267948981,1,0.06525017009087224,0.071,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,512,2,1024,0.5,0.7853981633974491,1,0.016296939627739312,0.144,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,512,4,2048,0.25,0.39269908169872453,1,0.004085789040658743,0.283,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,512,1,512,1.0,1.5707963267948981,2,0.017138414152301024,0.139,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,512,2,1024,0.5,0.7853981633974491,2,0.004281807029907458,0.276,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,512,4,2048,0.25,0.39269908169872453,2,0.0010702749080005217,0.556,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,512,1,512,1.0,1.5707963267948981,4,1.2042719191579057e-06,0.679,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,512,2,1024,0.5,0.7853981633974491,4,7.529941473471513e-08,1.395,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-003,jw,6,512,4,2048,0.25,0.39269908169872453,4,4.70676711761997e-09,2.791,26.314719591432414,5.084036796093393
B,nan,sto-6g,003-005,jw,8,64,1,64,1.0,1.570796326794903,1,0.03152457694615588,0.019,29.461587453322437,12.338925073596037
B,nan,sto-6g,003-005,jw,8,64,2,128,0.5,0.7853981633974515,1,0.015735714791675494,0.038,29.461587453322437,12.338925073596037
B,nan,sto-6g,003-005,jw,8,64,4,256,0.25,0.39269908169872575,1,0.007863238812996658,0.072,29.461587453322437,12.338925073596037
B,nan,sto-6g,003-005,jw,8,64,1,64,1.0,1.570796326794903,2,0.0014774933626966109,0.036,29.461587453322437,12.338925073596037
B,nan,sto-6g,003-005,jw,8,64,2,128,0.5,0.7853981633974515,2,0.0003691625879850673,0.072,29.461587453322437,12.338925073596037
