mapping,class_id,operator_error_rank,operator_error,state_error,commutator_surrogate,predicted_leading_error,surrogate_rank,tags,order_indices,order_labels
bk,4612,37,0.017613708350526783,0.01761370835052678,0.01870471983667875,0.009352359918339374,1,,5 0 3 4 6 7 8 9 10 12 13 1 2 11,P0005 P0000 P0003 P0004 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0001 P0002 P0011
bk,4765,38,0.017613708350526783,0.01761370835052678,0.01870471983667875,0.009352359918339374,2,,5 1 2 4 6 7 8 9 10 12 13 0 3 11,P0005 P0001 P0002 P0004 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0000 P0003 P0011
bk,3473,39,0.0176137083505268,0.017613708350526714,0.01870471983667875,0.009352359918339374,3,,4 0 1 5 6 7 8 9 10 11 2 3 12 13,P0004 P0000 P0001 P0005 P0006 P0007 P0008 P0009 P0010 P0011 P0002 P0003 P0012 P0013
bk,3872,40,0.0176137083505268,0.017613708350526714,0.01870471983667875,0.009352359918339374,4,,4 2 3 5 6 7 8 9 10 11 0 1 12 13,P0004 P0002 P0003 P0005 P0006 P0007 P0008 P0009 P0010 P0011 P0000 P0001 P0012 P0013
bk,3511,41,0.01761370835052682,0.017613708350526714,0.01870471983667875,0.009352359918339374,5,,4 0 2 5 6 7 8 9 10 11 1 3 12 13,P0004 P0000 P0002 P0005 P0006 P0007 P0008 P0009 P0010 P0011 P0001 P0003 P0012 P0013
bk,3726,42,0.01761370835052682,0.017613708350526714,0.01870471983667875,0.009352359918339374,6,,4 1 3 5 6 7 8 9 10 11 0 2 12 13,P0004 P0001 P0003 P0005 P0006 P0007 P0008 P0009 P0010 P0011 P0000 P0002 P0012 P0013
bk,4543,43,0.017613708350526842,0.01761370835052678,0.01870471983667875,0.009352359918339374,7,,5 0 1 4 6 7 8 9 10 12 13 2 3 11,P0005 P0000 P0001 P0004 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0002 P0003 P0011
bk,4942,44,0.017613708350526842,0.01761370835052678,0.01870471983667875,0.009352359918339374,8,,5 2 3 4 6 7 8 9 10 12 13 0 1 11,P0005 P0002 P0003 P0004 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0000 P0001 P0011
bk,5532,33,0.017613708350526735,0.017613708350526745,0.018704719836678763,0.009352359918339381,9,,6 7 8 9 10 11 0 3 4 12 13 1 2 5,P0006 P0007 P0008 P0009 P0010 P0011 P0000 P0003 P0004 P0012 P0013 P0001 P0002 P0005
bk,5685,34,0.017613708350526735,0.017613708350526745,0.018704719836678763,0.009352359918339381,10,,6 7 8 9 10 11 1 2 4 12 13 0 3 5,P0006 P0007 P0008 P0009 P0010 P0011 P0001 P0002 P0004 P0012 P0013 P0000 P0003 P0005
bk,5463,35,0.017613708350526742,0.017613708350526745,0.018704719836678763,0.009352359918339381,11,,6 7 8 9 10 11 0 1 4 12 13 2 3 5,P0006 P0007 P0008 P0009 P0010 P0011 P0000 P0001 P0004 P0012 P0013 P0002 P0003 P0005
bk,5862,36,0.017613708350526742,0.017613708350526745,0.018704719836678763,0.009352359918339381,12,,6 7 8 9 10 11 2 3 4 12 13 0 1 5,P0006 P0007 P0008 P0009 P0010 P0011 P0002 P0003 P0004 P0012 P0013 P0000 P0001 P0005
bk,6301,45,0.017613708350526856,0.017613708350526693,0.018704719836678763,0.009352359918339381,13,,6 7 8 9 10 12 13 0 2 5 11 1 3 4,P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0000 P0002 P0005 P0011 P0001 P0003 P0004
bk,6516,46,0.017613708350526856,0.017613708350526693,0.018704719836678763,0.009352359918339381,14,,6 7 8 9 10 12 13 1 3 5 11 0 2 4,P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0001 P0003 P0005 P0011 P0000 P0002 P0004
bk,6263,47,0.01761370835052692,0.017613708350526693,0.018704719836678763,0.009352359918339381,15,,6 7 8 9 10 12 13 0 1 5 11 2 3 4,P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0000 P0001 P0005 P0011 P0002 P0003 P0004
bk,6662,48,0.01761370835052692,0.017613708350526693,0.018704719836678763,0.009352359918339381,16,,6 7 8 9 10 12 13 2 3 5 11 0 1 4,P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0002 P0003 P0005 P0011 P0000 P0001 P0004
bk,5558,9,0.01623835749359856,0.016238357493598414,0.02805707975501811,0.014028539877509055,17,,6 7 8 9 10 11 0 4 1 3 12 13 2 5,P0006 P0007 P0008 P0009 P0010 P0011 P0000 P0004 P0001 P0003 P0012 P0013 P0002 P0005
bk,5739,10,0.01623835749359856,0.016238357493598414,0.02805707975501811,0.014028539877509055,18,,6 7 8 9 10 11 1 4 0 2 12 13 3 5,P0006 P0007 P0008 P0009 P0010 P0011 P0001 P0004 P0000 P0002 P0012 P0013 P0003 P0005
bk,5898,11,0.01623835749359856,0.016238357493598414,0.02805707975501811,0.014028539877509055,19,,6 7 8 9 10 11 2 4 1 3 12 13 0 5,P0006 P0007 P0008 P0009 P0010 P0011 P0002 P0004 P0001 P0003 P0012 P0013 P0000 P0005
bk,6003,12,0.01623835749359856,0.016238357493598414,0.02805707975501811,0.014028539877509055,20,,6 7 8 9 10 11 3 4 0 2 12 13 1 5,P0006 P0007 P0008 P0009 P0010 P0011 P0003 P0004 P0000 P0002 P0012 P0013 P0001 P0005
bk,6391,13,0.01623835749359859,0.016238357493598362,0.02805707975501811,0.014028539877509055,21,,6 7 8 9 10 12 13 0 5 1 2 11 3 4,P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0000 P0005 P0001 P0002 P0011 P0003 P0004
bk,6578,14,0.01623835749359859,0.016238357493598362,0.02805707975501811,0.014028539877509055,22,,6 7 8 9 10 12 13 1 5 0 3 11 2 4,P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0001 P0005 P0000 P0003 P0011 P0002 P0004
bk,6724,15,0.01623835749359859,0.016238357493598362,0.02805707975501811,0.014028539877509055,23,,6 7 8 9 10 12 13 2 5 0 3 11 1 4,P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0002 P0005 P0000 P0003 P0011 P0001 P0004
bk,6849,16,0.01623835749359859,0.016238357493598362,0.02805707975501811,0.014028539877509055,24,,6 7 8 9 10 12 13 3 5 1 2 11 0 4,P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0003 P0005 P0001 P0002 P0011 P0000 P0004
bk,5640,53,0.017618022499805524,0.009492093609293352,0.02805707975501811,0.014028539877509055,25,,6 7 8 9 10 11 0 12 13 1 3 4 2 5,P0006 P0007 P0008 P0009 P0010 P0011 P0000 P0012 P0013 P0001 P0003 P0004 P0002 P0005
bk,5821,54,0.017618022499805524,0.009492093609293352,0.02805707975501811,0.014028539877509055,26,,6 7 8 9 10 11 1 12 13 0 2 4 3 5,P0006 P0007 P0008 P0009 P0010 P0011 P0001 P0012 P0013 P0000 P0002 P0004 P0003 P0005
bk,5980,55,0.017618022499805538,0.009492093609293352,0.02805707975501811,0.014028539877509055,27,,6 7 8 9 10 11 2 12 13 1 3 4 0 5,P0006 P0007 P0008 P0009 P0010 P0011 P0002 P0012 P0013 P0001 P0003 P0004 P0000 P0005
bk,6085,56,0.017618022499805538,0.009492093609293352,0.02805707975501811,0.014028539877509055,28,,6 7 8 9 10 11 3 12 13 0 2 4 1 5,P0006 P0007 P0008 P0009 P0010 P0011 P0003 P0012 P0013 P0000 P0002 P0004 P0001 P0005
bk,6429,57,0.017618022499805545,0.009492093609293269,0.02805707975501811,0.014028539877509055,29,,6 7 8 9 10 12 13 0 11 1 2 5 3 4,P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0000 P0011 P0001 P0002 P0005 P0003 P0004
bk,6616,58,0.017618022499805545,0.009492093609293269,0.02805707975501811,0.014028539877509055,30,,6 7 8 9 10 12 13 1 11 0 3 5 2 4,P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0001 P0011 P0000 P0003 P0005 P0002 P0004
bk,6762,59,0.017618022499805548,0.009492093609293269,0.02805707975501811,0.014028539877509055,31,,6 7 8 9 10 12 13 2 11 0 3 5 1 4,P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0002 P0011 P0000 P0003 P0005 P0001 P0004
bk,6887,60,0.017618022499805548,0.009492093609293269,0.02805707975501811,0.014028539877509055,32,,6 7 8 9 10 12 13 3 11 1 2 5 0 4,P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0003 P0011 P0001 P0002 P0005 P0000 P0004
bk,648,17,0.016328659326461152,0.008408908114356494,0.028057079755018123,0.014028539877509062,33,,0 5 1 4 6 7 8 9 10 12 13 2 11 3,P0000 P0005 P0001 P0004 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0002 P0011 P0003
bk,1569,18,0.016328659326461152,0.008408908114356494,0.028057079755018123,0.014028539877509062,34,,1 5 0 4 6 7 8 9 10 12 13 3 11 2,P0001 P0005 P0000 P0004 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0003 P0011 P0002
bk,2427,19,0.016328659326461152,0.008408908114356494,0.028057079755018123,0.014028539877509062,35,,2 5 3 4 6 7 8 9 10 12 13 0 11 1,P0002 P0005 P0003 P0004 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0000 P0011 P0001
bk,3103,20,0.016328659326461152,0.008408908114356494,0.028057079755018123,0.014028539877509062,36,,3 5 2 4 6 7 8 9 10 12 13 1 11 0,P0003 P0005 P0002 P0004 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0001 P0011 P0000
bk,989,21,0.01632865932646116,0.00840890811435648,0.028057079755018123,0.014028539877509062,37,,0 6 7 8 9 10 12 13 1 5 11 3 4 2,P0000 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0001 P0005 P0011 P0003 P0004 P0002
bk,1908,22,0.01632865932646116,0.00840890811435648,0.028057079755018123,0.014028539877509062,38,,1 6 7 8 9 10 12 13 0 5 11 2 4 3,P0001 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0000 P0005 P0011 P0002 P0004 P0003
bk,2768,23,0.01632865932646116,0.00840890811435648,0.028057079755018123,0.014028539877509062,39,,2 6 7 8 9 10 12 13 3 5 11 1 4 0,P0002 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0003 P0005 P0011 P0001 P0004 P0000
bk,3442,24,0.01632865932646116,0.00840890811435648,0.028057079755018123,0.014028539877509062,40,,3 6 7 8 9 10 12 13 2 5 11 0 4 1,P0003 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0002 P0005 P0011 P0000 P0004 P0001
bk,415,25,0.016328659326461162,0.00840890811435646,0.028057079755018123,0.014028539877509062,41,,0 4 1 5 6 7 8 9 10 11 3 12 13 2,P0000 P0004 P0001 P0005 P0006 P0007 P0008 P0009 P0010 P0011 P0003 P0012 P0013 P0002
bk,1334,26,0.016328659326461162,0.00840890811435646,0.028057079755018123,0.014028539877509062,42,,1 4 0 5 6 7 8 9 10 11 2 12 13 3,P0001 P0004 P0000 P0005 P0006 P0007 P0008 P0009 P0010 P0011 P0002 P0012 P0013 P0003
bk,2194,27,0.016328659326461162,0.00840890811435646,0.028057079755018123,0.014028539877509062,43,,2 4 3 5 6 7 8 9 10 11 1 12 13 0,P0002 P0004 P0003 P0005 P0006 P0007 P0008 P0009 P0010 P0011 P0001 P0012 P0013 P0000
bk,2868,28,0.016328659326461162,0.00840890811435646,0.028057079755018123,0.014028539877509062,44,,3 4 2 5 6 7 8 9 10 11 0 12 13 1,P0003 P0004 P0002 P0005 P0006 P0007 P0008 P0009 P0010 P0011 P0000 P0012 P0013 P0001
